0	1	2	3	4	5	6	7	8
94.26	51.0	145.0	1023.0	1023.0	0.0	201.0	0.0	201.0
94.28	52.0	141.0	1023.0	1023.0	0.0	149.0	0.0	149.0
94.3	42.0	108.0	1023.0	1023.0	0.0	192.0	0.0	192.0
94.32	53.0	135.0	1023.0	1023.0	0.0	141.0	0.0	141.0
94.34	49.0	120.0	1023.0	1023.0	0.0	162.0	0.0	162.0
94.36	49.0	121.0	1023.0	1023.0	0.0	157.0	0.0	157.0
94.38	55.0	134.0	1023.0	1023.0	0.0	143.0	0.0	143.0
94.4	49.0	119.0	1023.0	1023.0	0.0	167.0	0.0	167.0
94.42	59.0	145.0	1023.0	1023.0	0.0	125.0	0.0	125.0
94.44	49.0	121.0	1023.0	1023.0	0.0	164.0	0.0	164.0
94.46	52.0	126.0	1023.0	1023.0	0.0	152.0	0.0	152.0
94.48	53.0	135.0	1023.0	1023.0	0.0	170.0	0.0	170.0
94.5	54.0	141.0	1023.0	1023.0	0.0	241.0	0.0	241.0
94.52	61.0	165.0	1023.0	1023.0	0.0	238.0	0.0	238.0
94.54	58.0	157.0	1023.0	1023.0	0.0	303.0	0.0	303.0
94.56	61.0	166.0	1023.0	1023.0	0.0	307.0	0.0	307.0
94.58	66.0	179.0	1023.0	1023.0	0.0	281.0	0.0	281.0
94.6	61.0	168.0	1023.0	1023.0	0.0	333.0	0.0	333.0
94.62	64.0	178.0	1023.0	1023.0	0.0	328.0	0.0	328.0
94.64	61.0	175.0	1023.0	1023.0	0.0	358.0	0.0	358.0
94.66	61.0	174.0	1023.0	1023.0	0.0	357.0	0.0	357.0
94.68	62.0	181.0	1023.0	1023.0	0.0	341.0	0.0	341.0
94.7	59.0	171.0	1023.0	1023.0	0.0	381.0	0.0	381.0
94.72	62.0	183.0	1023.0	1023.0	0.0	337.0	0.0	337.0
94.74	60.0	173.0	1023.0	1023.0	0.0	377.0	0.0	377.0
94.76	58.0	168.0	1023.0	1023.0	0.0	375.0	0.0	375.0
94.78	63.0	180.0	1023.0	1023.0	0.0	353.0	0.0	353.0
94.8	56.0	160.0	1023.0	1023.0	0.0	381.0	0.0	381.0
94.82	63.0	179.0	1023.0	1023.0	0.0	342.0	0.0	342.0
94.84	58.0	165.0	1023.0	1023.0	0.0	362.0	0.0	362.0
94.86	58.0	163.0	1023.0	1023.0	0.0	378.0	0.0	378.0
94.88	62.0	177.0	1023.0	1023.0	0.0	335.0	0.0	335.0
94.9	58.0	167.0	1023.0	1023.0	0.0	355.0	0.0	355.0
94.92	60.0	176.0	1023.0	1023.0	0.0	311.0	0.0	311.0
94.94	56.0	162.0	1023.0	1023.0	0.0	347.0	0.0	347.0
94.96	55.0	161.0	1023.0	1023.0	0.0	333.0	0.0	333.0
94.98	58.0	169.0	1023.0	1023.0	0.0	300.0	0.0	300.0
95.0	53.0	155.0	1023.0	1023.0	0.0	338.0	0.0	338.0
95.02	57.0	167.0	1023.0	1023.0	0.0	307.0	0.0	307.0
95.04	52.0	155.0	1023.0	1023.0	0.0	331.0	0.0	331.0
95.06	54.0	160.0	1023.0	1023.0	0.0	331.0	0.0	331.0
95.08	55.0	165.0	1023.0	1023.0	0.0	319.0	0.0	319.0
95.1	52.0	154.0	1023.0	1023.0	0.0	360.0	0.0	360.0
95.12	54.0	165.0	1023.0	1023.0	0.0	338.0	0.0	338.0
95.14	55.0	170.0	1023.0	1023.0	0.0	345.0	0.0	345.0
95.16	53.0	164.0	1023.0	1023.0	0.0	362.0	0.0	362.0
95.18	56.0	172.0	1023.0	1023.0	0.0	365.0	0.0	365.0
95.2	49.0	155.0	1023.0	1023.0	0.0	412.0	0.0	412.0
95.22	55.0	176.0	1023.0	1023.0	0.0	372.0	0.0	372.0
95.24	51.0	164.0	1023.0	1023.0	0.0	415.0	0.0	415.0
95.26	52.0	165.0	1023.0	1023.0	0.0	422.0	0.0	422.0
95.28	55.0	176.0	1023.0	1023.0	0.0	405.0	0.0	405.0
95.3	52.0	165.0	1023.0	1023.0	0.0	456.0	0.0	456.0
95.32	53.0	169.0	1023.0	1023.0	0.0	422.0	0.0	422.0
95.34	51.0	162.0	1023.0	1023.0	0.0	444.0	0.0	444.0
95.36	51.0	162.0	1023.0	1023.0	0.0	425.0	0.0	425.0
95.38	53.0	167.0	1023.0	1023.0	0.0	406.0	0.0	406.0
95.4	52.0	163.0	1023.0	1023.0	0.0	416.0	0.0	416.0
95.42	55.0	173.0	1023.0	1023.0	0.0	391.0	0.0	391.0
95.44	51.0	160.0	1023.0	1023.0	0.0	402.0	0.0	402.0
95.46	52.0	162.0	1023.0	1023.0	0.0	406.0	0.0	406.0
95.48	52.0	166.0	1023.0	1023.0	0.0	389.0	0.0	389.0
95.5	50.0	156.0	1023.0	1023.0	0.0	437.0	0.0	437.0
95.52	52.0	165.0	1023.0	1023.0	0.0	345.0	0.0	345.0
95.54	52.0	162.0	1023.0	1023.0	0.0	321.0	0.0	321.0
95.56	47.0	143.0	1023.0	1023.0	0.0	295.0	0.0	295.0
95.58	51.0	147.0	1023.0	1023.0	0.0	226.0	0.0	226.0
95.6	44.0	120.0	1023.0	1023.0	0.0	206.0	0.0	206.0
95.62	51.0	135.0	1023.0	1023.0	0.0	161.0	0.0	161.0
